Timestamp_S,X,Y,Z
4.84603,0.051558,-0.160836,0.990834
4.84653,0.050466,-0.162084,0.990600
4.84703,0.052494,-0.161460,0.989898
4.84753,0.055224,-0.160602,0.990600
4.84803,0.049530,-0.163722,0.991536
4.84853,0.053274,-0.159120,0.990756
4.84903,0.050388,-0.160290,0.992238
4.84953,0.048828,-0.163956,0.991692
4.84998,0.053586,-0.164970,0.992472
4.85048,0.050700,-0.158418,0.992862
4.85098,0.050856,-0.156390,0.990132
4.85148,0.052650,-0.159978,0.988806
4.85198,0.051246,-0.161148,0.991692
4.85248,0.048360,-0.160914,0.992784
4.85298,0.048282,-0.163020,0.990288
4.85348,0.053664,-0.165282,0.989664
4.85398,0.052806,-0.163332,0.989742
4.85448,0.052416,-0.164736,0.991302
4.85498,0.053820,-0.161616,0.994266
4.85548,0.056238,-0.161070,0.991380
4.85598,0.051948,-0.164736,0.991302
4.85648,0.047424,-0.169260,0.992550
4.85698,0.056706,-0.164034,0.992238
4.85748,0.055068,-0.163644,0.990210
4.85798,0.051246,-0.163176,0.990054
4.85848,0.053430,-0.162630,0.992706
4.85895,0.053820,-0.160056,0.992316
4.85945,0.050778,-0.159042,0.992628
4.85995,0.050778,-0.161304,0.989118
4.86045,0.049764,-0.160992,0.989430
4.86095,0.050076,-0.159900,0.990912
4.86145,0.053274,-0.166842,0.988650
4.86195,0.052728,-0.165438,0.991146
4.86245,0.053430,-0.160680,0.996684
4.86295,0.054600,-0.161694,0.993564
4.86345,0.054912,-0.158106,0.991926
4.86395,0.051168,-0.160134,0.993330
4.86445,0.050622,-0.160134,0.989196
4.86495,0.051870,-0.161772,0.987870
4.86545,0.051636,-0.163176,0.990912
4.86595,0.054054,-0.163410,0.989586
4.86645,0.049374,-0.158730,0.989586
4.86695,0.048438,-0.159822,0.991614
4.86745,0.053898,-0.160446,0.990522
4.86789,0.051948,-0.156858,0.989352
4.86839,0.052572,-0.157716,0.989898
4.86889,0.051792,-0.162396,0.992160
4.86939,0.048282,-0.163020,0.992394
4.86989,0.051558,-0.159432,0.994422
4.87039,0.049452,-0.160056,0.991146
4.87089,0.048906,-0.162240,0.994500
4.87139,0.047190,-0.160056,0.992004
4.87189,0.051558,-0.162006,0.991614
4.87239,0.054444,-0.161460,0.992316
4.87289,0.056628,-0.160446,0.988806
4.87339,0.051480,-0.160758,0.991302
4.87389,0.052416,-0.162630,0.989976
4.87439,0.051792,-0.161460,0.990756
4.87489,0.048360,-0.163566,0.988650
4.87539,0.049686,-0.162708,0.988572
4.87589,0.052884,-0.161538,0.989898
4.87639,0.052728,-0.162708,0.991302
4.87683,0.047580,-0.164268,0.987636
4.87733,0.043914,-0.162240,0.990756
4.87783,0.050154,-0.164814,0.992004
4.87833,0.050622,-0.164970,0.991848
4.87883,0.046878,-0.162708,0.994734
4.87933,0.055614,-0.160992,0.992550
4.87983,0.049998,-0.161226,0.989820
4.88033,0.052572,-0.162396,0.989820
4.88083,0.053508,-0.162708,0.991146
4.88133,0.051636,-0.160524,0.989820
4.88183,0.050622,-0.160680,0.991614
4.88233,0.046410,-0.164580,0.989664
4.88283,0.046176,-0.163098,0.988572
4.88333,0.049452,-0.162942,0.988728
4.88383,0.050076,-0.161382,0.989586
4.88433,0.050076,-0.159198,0.989274
4.88483,0.048984,-0.162396,0.990834
4.88533,0.052026,-0.161304,0.989976
4.88577,0.053118,-0.161850,0.990756
4.88627,0.051090,-0.158184,0.992550
4.88677,0.049374,-0.160992,0.989274
4.88727,0.048984,-0.159198,0.990600
4.88777,0.049140,-0.158964,0.992082
4.88827,0.049296,-0.158652,0.991224
4.88877,0.049764,-0.160992,0.989898
4.88927,0.050154,-0.160134,0.992940
4.88977,0.047112,-0.161928,0.990132
4.89027,0.050466,-0.158886,0.990132
4.89077,0.050544,-0.161538,0.986700
4.89127,0.051090,-0.162396,0.990990
4.89177,0.052338,-0.163176,0.992472
4.89227,0.049842,-0.161850,0.991380
4.89277,0.049374,-0.161616,0.991146
4.89327,0.047502,-0.160680,0.993876
4.89377,0.050544,-0.159978,0.990990
4.89427,0.048828,-0.163410,0.990054
4.89471,0.047034,-0.159900,0.990522
4.89521,0.053664,-0.158418,0.991068
4.89571,0.049062,-0.161460,0.992862
4.89621,0.049530,-0.162240,0.993018
4.89671,0.048516,-0.163566,0.995670
