TotalSeconds	OD-TurningStrainRaw0	OD-TurningStrainRaw1
1.9430335	6938179	8892786
1.9455335	6938074	8892688
1.9480335	6937952	8892600
1.9505335	6937840	8892551
1.9530335	6937768	8892565
1.9555335	6937754	8892655
1.9575598	6937807	8892810
1.9600598	6937909	8892999
1.9625598	6938028	8893170
1.9650598	6938111	8893256
1.9675598	6938093	8893187
1.9700598	6937918	8892908
1.9725598	6937550	8892393
1.9750598	6936989	8891664
1.9775598	6936279	8890789
1.9800598	6935506	8889881
1.9825598	6934785	8889075
1.9850598	6934233	8888501
1.9875598	6933946	8888252
1.9900598	6933972	8888367
1.9925598	6934296	8888815
1.9950598	6934848	8889504
1.9975598	6935521	8890307
2.0000598	6936196	8891089
2.0025598	6936775	8891745
2.0050598	6937206	8892219
2.0075598	6937482	8892507
2.0100598	6937639	8892649
2.0125598	6937733	8892710
2.0150598	6937820	8892749
2.0175598	6937932	8892804
2.0200598	6938075	8892883
2.0225598	6938229	8892973
2.0250598	6938363	8893051
2.0275598	6938452	8893101
2.0300598	6938488	8893127
2.0325598	6938479	8893150
2.0350598	6938452	8893203
2.0375598	6938437	8893316
2.0400598	6938454	8893500
2.0425598	6938513	8893744
2.0450598	6938609	8894015
2.0475598	6938731	8894276
2.0500598	6938864	8894489
2.0525598	6938995	8894631
2.0550598	6939120	8894693
2.0575598	6939231	8894682
2.0600598	6939324	8894611
2.0625598	6939388	8894496
2.0650598	6939410	8894345
2.0675598	6939378	8894166
2.0700598	6939286	8893966
2.0725598	6939142	8893756
2.0750598	6938967	8893557
2.0775598	6938794	8893393
2.0800598	6938655	8893288
2.0825598	6938572	8893255
2.0850598	6938551	8893293
2.0875598	6938577	8893381
2.0900598	6938622	8893489
2.0925598	6938655	8893586
2.0950598	6938650	8893646
2.0970557	6938598	8893662
2.0995557	6938503	8893642
2.1020557	6938388	8893611
2.1045557	6938276	8893595
2.1070557	6938185	8893610
2.1095557	6938121	8893656
2.1120557	6938081	8893721
2.1145557	6938058	8893785
2.1170557	6938042	8893825
2.1195557	6938022	8893817
2.1220557	6937990	8893747
2.1245557	6937937	8893611
2.1270557	6937856	8893409
2.1295557	6937736	8893147
2.1320557	6937573	8892842
2.1345557	6937373	8892517
2.1370557	6937156	8892208
2.1395557	6936960	8891958
2.1420557	6936824	8891806
2.1445557	6936786	8891783
2.1470557	6936866	8891901
2.1495557	6937060	8892142
2.1520557	6937338	8892466
2.1545557	6937655	8892821
2.1570557	6937962	8893153
2.1595557	6938225	8893426
2.1620557	6938426	8893624
2.1645557	6938568	8893753
2.1670557	6938665	8893828
2.1695557	6938736	8893871
2.1720557	6938795	8893892
2.1745557	6938840	8893884
2.1770557	6938860	8893834
2.1795557	6938846	8893729
2.1820557	6938794	8893568
2.1845557	6938710	8893365
2.1870557	6938608	8893151
2.1895557	6938507	8892960
2.1920557	6938423	8892826
2.1945557	6938365	8892770
2.1970557	6938326	8892791
2.1995557	6938295	8892871
2.2020557	6938253	8892979
2.2045557	6938187	8893082
2.2070557	6938095	8893156
2.2095557	6937983	8893193
2.2120557	6937869	8893195
2.2145557	6937768	8893177
2.2170557	6937694	8893153
2.2195557	6937655	8893144
2.2220557	6937654	8893161
2.2245557	6937688	8893212
2.2270557	6937747	8893296
2.2295557	6937823	8893401
2.2320557	6937901	8893510
2.2345557	6937969	8893600
2.236582	6938015	8893647
2.239082	6938029	8893628
2.241582	6938002	8893527
2.244082	6937929	8893339
2.246582	6937818	8893076
2.249082	6937685	8892771
2.251582	6937560	8892475
2.254082	6937479	8892245
2.256582	6937481	8892134
2.259082	6937599	8892182
2.261582	6937845	8892396
2.264082	6938203	8892743
2.266582	6938624	8893157
2.269082	6939035	8893544
2.271582	6939349	8893810
2.274082	6939492	8893882
2.276582	6939416	8893725
2.279082	6939122	8893360
2.281582	6938658	8892854
2.284082	6938107	8892301
2.286582	6937566	8891804
2.289082	6937120	8891438
2.291582	6936818	8891243
2.294082	6936669	8891208
2.296582	6936637	8891285
2.299082	6936667	8891406
2.301582	6936702	8891508
2.304082	6936711	8891554
2.306582	6936693	8891546
2.309082	6936677	8891513
2.311582	6936708	8891507
2.314082	6936830	8891581
2.316582	6937067	8891773
2.319082	6937413	8892089
2.321582	6937832	8892503
2.324082	6938267	8892962
2.326582	6938652	8893396
2.329082	6938930	8893738
2.331582	6939063	8893934
2.334082	6939041	8893959
2.336582	6938882	8893822
2.339082	6938628	8893562
2.341582	6938334	8893237
2.344082	6938058	8892918
